"uid","score"
1,261.6605046316845
2,206.08520477808878
9,307.3085070877837
12,108.72053673508364
14,593.6261936642089
20,239.53692772334955
25,115.18048910865943
28,222.77961270807305
30,216.89500409011498
33,134.32030428193997
35,319.74184976402194
37,84.2235305505848
43,79.43436264798191
44,73.66540563176474
45,127.06884322755258
46,130.96514230015316
52,115.8553155782245
53,161.64166046022928
55,381.2351060470771
56,195.99885851984573
57,204.4214460958374
59,366.37168159153555
60,1489.0587548534588
66,95.83159741791101
74,467.0461303396148
75,533.2709469239194
83,169.04775127381902
84,326.1057961411792
87,159.04518039200494
88,102.13062284482498
95,195.1978033864458
100,408.4055802895157
101,456.9154218641608
105,188.5456517672602
111,27.844619889408445
114,1291.600065533616
116,349.10079957819164
118,272.21807084014097
119,78.38354125851978
123,865.1689669297839
129,169.5124878936105
131,1258.9898782914026
132,599.921170476445
137,83.80421817978988
143,3289.7399613979087
147,259.82333412938743
148,109.10810998324703
149,192.73201525953593
156,8334.994648719263
161,182.2556296587223
162,485.6540388375836
170,192.7689113449293
179,101.5925643332059
184,431.90362422348784
187,373.70058160127184
191,205.36057066182485
198,105.83419945519289
206,122.07004195494318
212,197.34546114019685
221,67.39037118518692
222,323.88391489962277
225,98.08278703747199
226,182.71409554884457
228,192.98646524398444
232,289.12980915979807
236,381.77342818093734
237,167.17325172258245
242,318.0745030029915
247,100.07314289462875
252,129.43091119881882
253,191.7952543111171
255,308.66097335694894
258,211.61262512485456
261,193.123848566469
264,78.04938655753126
268,4298.877789456174
275,122.30354832127276
292,140.5498657931038
293,9988.078834458436
295,262.7425190858461
305,380.3601143544323
325,1553.9361650420597
328,575.1955376858238
330,281.67842052031597
334,241.23450754218734
335,13099.447017542941
350,288.3048428342023
351,348.720623171674
354,122.16127862177599
357,243.22187443992308
360,159.04287992843697
361,579.5911207429516
365,3662.9057901411243
368,102.74985134504152
369,285.57877897439414
370,159.49716459046113
374,466.3310246839209
375,107.47980263384423
377,90.67253512823106
389,370.9759443052204
390,376.6323344056486
399,275.44990115630526
401,102.40986018812501
402,55.04677834587879
403,85.67300042139497
404,1417.4291291298669
405,264.49563105280527
415,119.96799258030339
416,618.4029170946696
417,3395.8470842353395
425,1259.7496531020504
430,205.73008658834215
436,216.61830511620846
442,208.76900340313114
445,298.99519293972435
446,342.41168639659566
447,139.07982056227442
451,6793.937396286946
459,187.91143206926031
461,86.81946138261462
462,188.6243008727722
464,285.6543437485873
465,185.83739718338694
470,55.75626082732589
471,171.0280906257495
473,111.7342710112778
481,91.17994601067804
482,155.9405644572225
487,405.35473964592467
489,206.088304385722
524,177.55582553164294
528,432.3640812250004
535,430.20750407588264
536,147.77725768046776
545,97.3671986563689
551,273.7060265112184
552,195.30972961394042
563,122.34227934813967
566,286.41737854581845
573,435.0419089207317
576,234.3717649439559
577,306.2299903669819
579,252.88928868653903
583,58.33686401525665
595,423.47438034831544
596,284.1385207480871
598,390.7927936657711
600,1658.218157766935
603,1768.6643573895833
607,49.73950390473172
608,660.783052654397
613,902.7407069069243
614,403.4430138540455
616,5054.626251590784
618,89.26406904961843
620,89.88353917475322
623,252.94655628809778
624,144.63790785729515
628,106.20768501328196
630,2158.777731002451
637,110.2673737949824
645,558.2598233726798
652,193.51351327137854
653,196.18469272018012
665,313.18819682714934
667,25247.988504029905
668,96.82354295405123
669,113.38149630190975
678,604.3715426062807
680,430.1345289992415
684,381.7361534331197
687,215.35289260337748
695,393.3511028525192
699,654.3529838878139
702,198.1711874118416
704,89.89344158243412
705,17955.75424969214
707,264.0637295258666
711,162.2565080395489
716,83.05566020726731
722,4131.697171456698
732,172.1382855224375
741,29.232636813609275
745,121.19598974378387
747,262.0358402827266
748,1934.6880593350618
750,260.3307588206901
753,2892.843292769617
756,303.9709229060464
765,692.0164598108499
769,244.5415149115656
775,297.8715413337495
777,383.9182340760134
781,56.49546659683905
791,230.0620038464872
792,63.243090855147166
794,80.21236074631557
800,286.4419126821707
802,215.22569113453557
811,213.6274475288073
812,214.58250904283088
813,84.0132049233837
816,239.37527969484614
818,211.88427309400993
822,177.17302678959297
829,646.2554387643956
830,146.9938160945498
833,8952.627386444476
838,6912.414982213207
839,513.8855247476812
841,40.37999480935199
842,342.41054103151373
843,230.8778843309138
849,155.39751630104223
855,125.72696988261691
856,666.5056086800009
860,670.6109922922636
871,157.29540842310445
874,596.4784840214166
876,37.035637447766355
879,231.45294216473627
881,309.92789908236574
890,161.92410772823152
898,103.60208499753469
901,172.90929414849603
904,467.2915203391342
913,42.0757045238927
914,236.23333840788783
915,10088.23076589261
924,3962.636358136663
925,292.24180622663266
927,116.836468556852
928,321.5143334231468
929,134.47045397970456
934,189.61477305348785
935,195.18612557937408
937,167.38138137799686
938,812.6773695363183
939,257.4765693389766
940,199.1611244957001
943,315.87374437933926
944,115.88717981928723
951,183.43218814148904
954,190.85680026951846
957,109.60063927462977
959,243.28814316402358
963,120.92969388202962
967,216.50908996132662
970,271.67648060261035
973,108.82592147205287
974,4339.488391472715
979,471.0312448888602
985,365.7207595900077
990,469.38331811324525
991,641.5061627091823
993,262.33743269511103
994,412.0915912710038
999,224.03936689135514
1002,155.27830723797837
1009,160.20760991200572
1014,1166.6730829502849
1017,71.71853517205597
1019,373.9263027027645
1026,815.8566353507638
1031,587.7846643787689
1032,230.6227529601303
1033,109.46748423612105
1036,12896.43879145833
1037,288.57004835456786
1042,67.7631562485314
1043,419.3701471342858
1044,413.1885095055088
1048,15206.3462311772
1052,8159.584693295648
1053,209.91288161953923
1061,397.3886613368931
1072,127.23500342097759
1077,349.9089429187752
1081,311.0784324005418
1082,211.16513388429564
1085,53.12385369537769
1087,172.7422073611538
1095,93.82085349713691
1096,136.87790602292455
1097,201.09619716782674
1098,93.35992227328973
1099,205.2101232297136
1115,772.5232395756718
1117,6376.738165413594
1120,301.2269110058942
1122,180.76412538316708
1132,369.41021427775615
1139,221.74277847393552
1142,4641.881842878542
1149,408.08709255168856
1151,112.15311981026545
1157,474.34527572300607
1160,221.05132241788655
1162,243.13203134737302
1166,64.31063142279709
1169,87.49959343738855
1174,27498.614891600504
1178,347.18642019030085
1180,258.12041255942813
1182,167.54086758391918
1189,89.3791453907291
1190,158.1080297680913
1196,294.59479884654263
1198,217.67416631048047
1199,206.5752426400526
1204,220.44017780549166
1205,4208.689276864861
1208,235.0046237460473
1209,85.00422181128248
1210,135.6189728604791
1212,30.29114778189373
1214,199.49439011276093
1215,85.63156034919929
1222,133.10280114381885
1227,327.1309115809228
1228,3874.5398447934176
1236,75.33813787229967
1237,488.28116599927534
1238,564.713041790845
1243,263.4036236787928
1244,531.8059063474225
1245,271.53272803501295
1251,48.474864652734425
1253,526.6354181328337
1259,278.9845677920386
1260,183.00062065353487
1264,230.63146127270483
1266,239.8488936930756
1276,11662.172903177136
